Scientific name,Latitude,Longitude
Washingtonia robusta,20.96702,-89.62424
Sabal mexicana,20.967,-89.62423
Sabal mexicana,20.96699,-89.62422
Sabal mexicana,20.967,-89.62423
Washingtonia robusta,20.96701,-89.62421
Sabal mexicana,20.96701,-89.62421
Washingtonia robusta,20.96701,-89.62421
Sabal mexicana,20.96704,-89.62423
Sabal mexicana,20.96703,-89.62424
Sabal mexicana,20.96708,-89.6242
Sabal mexicana,20.96707,-89.62421
Sabal mexicana,20.96707,-89.62423
Ficus,20.96709,-89.62423
Ficus,20.96685,-89.62418
Ficus,20.96709,-89.62412
Ficus,20.96692,-89.62405
Dypsis lutescens,20.96699,-89.62403
Dypsis lutescens,20.96698,-89.62404
Dypsis lutescens,20.967,-89.62402
Dypsis lutescens,20.96703,-89.62402
Ficus,20.967,-89.62396
Casuarina equisetifolia,20.96707,-89.62399
Ficus,20.96707,-89.62403
Washingtonia robusta,20.96719,-89.62422
Pseudophoenix sargentii,20.96721,-89.62421
Washingtonia robusta,20.9672,-89.62421
Ficus,20.96721,-89.62421
Magnoliopsida,20.96724,-89.62422
Sabal mexicana,20.96727,-89.6242
Sabal mexicana,20.96729,-89.62418
Sabal mexicana,20.96729,-89.6242
Sabal mexicana,20.96729,-89.62417
Ficus,20.9673,-89.62419
Washingtonia robusta,20.96734,-89.62418
Sabal mexicana,20.96733,-89.62419
Sabal mexicana,20.96732,-89.6242
Washingtonia robusta,20.96734,-89.6242
Sabal mexicana,20.96735,-89.6242
Washingtonia robusta,20.96736,-89.62419
Roystonea regia,20.96737,-89.62416
Sabal mexicana,20.96738,-89.62414
Magnoliopsida,20.96738,-89.62417
Sabal mexicana,20.9674,-89.62415
Roystonea regia,20.96741,-89.62415
Washingtonia robusta,20.96744,-89.62415
Washingtonia robusta,20.96741,-89.62416
Washingtonia robusta,20.96743,-89.62415
Washingtonia robusta,20.96745,-89.62415
Sabal mexicana,20.9675,-89.62414
Washingtonia robusta,20.96749,-89.62414
Ficus,20.96751,-89.62412
Washingtonia robusta,20.96754,-89.62412
Sabal mexicana,20.96754,-89.62413
Washingtonia robusta,20.96752,-89.62412
Washingtonia robusta,20.96753,-89.62412
Washingtonia robusta,20.96755,-89.62411
Ficus,20.96721,-89.62415
Ficus,20.96719,-89.62413
Ficus,20.96739,-89.62407
Washingtonia robusta,20.96663,-89.62367
Sabal mexicana,20.96662,-89.62366
Yucca,20.9666,-89.62368
Roystonea regia,20.96662,-89.6237
Tabebuia rosea,20.96663,-89.6237
Sabal mexicana,20.96662,-89.62371
Sabal mexicana,20.96661,-89.62373
Sabal mexicana,20.96662,-89.62374
Sabal mexicana,20.96665,-89.62376
Roystonea regia,20.96664,-89.62376
Sabal mexicana,20.96663,-89.62377
Sabal mexicana,20.96663,-89.62377
Ficus,20.96733,-89.62399
Dypsis lutescens,20.96729,-89.62399
Dypsis lutescens,20.96725,-89.62399
Dypsis lutescens,20.96722,-89.62399
Dypsis lutescens,20.96721,-89.62399
Adonidia merrilli,20.96723,-89.62398
Adonidia merrilli,20.96724,-89.62395
Adonidia merrilli,20.96723,-89.62394
Beaucarnea,20.96725,-89.62397
Dypsis lutescens,20.96728,-89.62395
Dypsis lutescens,20.96725,-89.62393
Dypsis lutescens,20.96722,-89.62394
Casuarina equisetifolia,20.96718,-89.62395
Ficus,20.96722,-89.6239
Dypsis lutescens,20.96716,-89.62384
Ficus,20.96717,-89.62382
Sabal mexicana,20.96758,-89.62404
Sabal mexicana,20.96759,-89.62402
Sabal mexicana,20.96758,-89.62403
Sabal mexicana,20.96759,-89.62399
Sabal mexicana,20.96759,-89.62399
Sabal mexicana,20.96758,-89.62399
Sabal mexicana,20.96757,-89.62395
Adonidia merrilli,20.96757,-89.62395
Sabal mexicana,20.96757,-89.62394
Sabal mexicana,20.96756,-89.62392
Sabal mexicana,20.96759,-89.62395
Sabal mexicana,20.96756,-89.62392
Sabal mexicana,20.96758,-89.62393
Sabal mexicana,20.96756,-89.62388
Sabal mexicana,20.96756,-89.62388
Sabal mexicana,20.96754,-89.62386
Sabal mexicana,20.96754,-89.62385
Sabal mexicana,20.96755,-89.62385
Sabal mexicana,20.96755,-89.62383
Sabal mexicana,20.96755,-89.62376
Sabal mexicana,20.96754,-89.62374
Sabal mexicana,20.96755,-89.62374
Sabal mexicana,20.96752,-89.62371
Ceiba pentandra,20.96753,-89.6237
Ficus,20.96745,-89.62368
Ficus,20.96744,-89.62373
Ficus,20.96745,-89.62385
Ficus,20.96746,-89.62392
Chrysophyllum cainito,20.96747,-89.62399
Ficus,20.96737,-89.62389
Dypsis lutescens,20.96735,-89.62386
Dypsis lutescens,20.96732,-89.62378
Ficus,20.96732,-89.62377
Ficus,20.96731,-89.62376
Roystonea regia,20.96839,-89.62265
Roystonea regia,20.96836,-89.62267
Roystonea regia,20.96834,-89.62268
Roystonea regia,20.9683,-89.62265
Roystonea regia,20.96832,-89.62263
Roystonea regia,20.96831,-89.62255
Roystonea regia,20.96831,-89.62253
Roystonea regia,20.96827,-89.62244
Roystonea regia,20.96825,-89.62241
Terminalia catappa,20.96828,-89.62244
Terminalia catappa,20.96836,-89.62246
Terminalia catappa,20.96836,-89.62248
Roystonea regia,20.96833,-89.62243
Roystonea regia,20.96832,-89.62241
Roystonea regia,20.96837,-89.62238
Chrysophyllum cainito,20.96742,-89.6236
Ficus macrophylla,20.96739,-89.62358
Ficus macrophylla,20.96739,-89.62341
Ficus macrophylla,20.96737,-89.6234
Ficus macrophylla,20.96733,-89.62332
Ficus macrophylla,20.96726,-89.62331
Ficus macrophylla,20.96719,-89.6233
Ficus macrophylla,20.96708,-89.62337
Ficus macrophylla,20.96698,-89.62339
Ficus macrophylla,20.96683,-89.62338
Ficus macrophylla,20.96676,-89.62339
Chrysophyllum cainito,20.96676,-89.62339
Ficus macrophylla,20.96676,-89.62341
Ficus macrophylla,20.96669,-89.62355
Ficus macrophylla,20.96673,-89.62367
Ficus variegata,20.96673,-89.62376
Ficus macrophylla,20.9673,-89.62366
Dypsis lutescens,20.96732,-89.62361
Thrinax radiata,20.96732,-89.62359
Thrinax radiata,20.96731,-89.62359
Dypsis lutescens,20.9673,-89.62359
Thrinax radiata,20.9673,-89.62358
Dypsis lutescens,20.96731,-89.62356
Ficus variegata,20.96725,-89.62357
Ficus macrocarpa,20.96727,-89.62357
Ficus macrocarpa,20.96717,-89.62353
Dypsis lutescens,20.96717,-89.62346
Dypsis lutescens,20.96711,-89.62347
Ficus variegata,20.9671,-89.62347
Ficus variegata,20.96709,-89.62346
Ficus variegata,20.96698,-89.62353
Ficus variegata,20.96696,-89.62354
Dypsis lutescens,20.96694,-89.6235
Dypsis lutescens,20.9669,-89.6235
Ficus variegata,20.96692,-89.62359
Ficus variegata,20.96687,-89.62365
Adonidia merrilli,20.96686,-89.62364
Dypsis lutescens,20.96682,-89.62363
Dypsis lutescens,20.9668,-89.6237
Ficus macrophylla,20.96682,-89.62372
Casuarina equisetifolia,20.96685,-89.62371
Ficus variegata,20.96697,-89.62368
Ficus variegata,20.96714,-89.62364
Dypsis lutescens,20.96717,-89.62366
Cedrela odorata,20.95937,-89.64014
Tabebuia rosea,20.95954,-89.64008
Cocos nucifera,20.95961,-89.64001
Tabebuia rosea,20.9596,-89.63988
