ID,VALOR,DESCRIPCION
1,INTRODUCIDA,SIGNIFICA QUE NO ES DE LA REGION
2,NATIVA,SIGNIFICA QUE ES DE LA REGION
3,ENDEMICA,SIGNIFICA QUE ESTA EN PELIGRO DE EXTINCION
